Date,Code,CommodityId,CommodityName,DistrictName,DistrictCode,Stock,CommodityStock
2021-01-29,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118890.58,1406120.62
2021-01-29,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,210296.96,1406120.62
2021-01-29,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1406120.62
2021-01-29,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1406120.62
2021-01-29,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,171385.41,1406120.62
2021-01-30,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,818698.57,1432580.03
2021-01-30,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118890.58,1432580.03
2021-01-30,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,210296.96,1432580.03
2021-01-30,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1432580.03
2021-01-30,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1432580.03
2021-01-30,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,171385.41,1432580.03
2021-01-31,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,818698.57,1458787.81
2021-01-31,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118890.58,1458787.81
2021-01-31,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,210296.96,1458787.81
2021-01-31,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1458787.81
2021-01-31,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1458787.81
2021-01-31,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,197593.19,1458787.81
2021-02-01,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,836851.18,1502458.1
2021-02-01,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118890.58,1502458.1
2021-02-01,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,236033.41,1502458.1
2021-02-01,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1502458.1
2021-02-01,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1502458.1
2021-02-01,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,197374.41,1502458.1
2021-02-02,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,844232.35,1562133.6
2021-02-02,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118598.26,1562133.6
2021-02-02,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,236033.41,1562133.6
2021-02-02,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1562133.6
2021-02-02,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1562133.6
2021-02-02,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,249961.07,1562133.6
2021-02-03,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,857941.35,1571288.82
2021-02-03,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118307.34,1571288.82
2021-02-03,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,236033.41,1571288.82
2021-02-03,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1571288.82
2021-02-03,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,28922.77,1571288.82
2021-02-03,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,246405.92,1571288.82
2021-02-04,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,870478.76,1573184.24
2021-02-04,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118027.79,1573184.24
2021-02-04,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,236033.41,1573184.24
2021-02-04,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,81664.32,1573184.24
2021-02-04,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,28922.77,1573184.24
2021-02-04,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,238057.19,1573184.24
2021-02-05,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,868713.16,1561040.12
2021-02-05,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,117760.59,1561040.12
2021-02-05,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,232737.23,1561040.12
2021-02-05,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,81664.32,1561040.12
2021-02-05,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,28922.77,1561040.12
